[00:33:33] WARNING | Medium: Suspicious Port Probing from 10.186.171.135 | 10.186.171.135
[00:33:33] WARNING | Medium: Suspicious Port Probing from 8.8.8.8 | 8.8.8.8
[00:33:34] WARNING | Medium: Suspicious Port Probing from 140.82.112.21 | 140.82.112.21
[00:33:54] WARNING | Medium: Suspicious Port Probing from 20.189.173.23 | 20.189.173.23
[00:33:56] WARNING | Medium: Suspicious Port Probing from 10.186.171.135 | 10.186.171.135
[00:33:56] CRITICAL | High: Port Scan Detected from 8.8.8.8 (3 ports) | 8.8.8.8
[00:33:57] WARNING | Medium: Suspicious Port Probing from 140.82.113.22 | 140.82.113.22
[00:33:58] WARNING | Medium: Suspicious Port Probing from 8.8.8.8 | 8.8.8.8
[00:35:12] WARNING | Medium: Suspicious Port Probing from 1.1.1.1 | 1.1.1.1
[00:35:12] WARNING | Medium: Suspicious Port Probing from 10.186.171.135 | 10.186.171.135
[00:35:13] WARNING | Medium: Suspicious Port Probing from 20.189.173.25 | 20.189.173.25
[00:35:14] CRITICAL | High: Port Scan Detected from 1.1.1.1 (3 ports) | 1.1.1.1
[00:35:14] WARNING | Medium: Suspicious Port Probing from 8.8.8.8 | 8.8.8.8
[00:35:14] CRITICAL | High: Port Scan Detected from 8.8.8.8 (4 ports) | 8.8.8.8
[00:35:18] CRITICAL | High: Port Scan Detected from 1.1.1.1 (4 ports) | 1.1.1.1
[00:35:23] CRITICAL | High: Port Scan Detected from 8.8.8.8 (3 ports) | 8.8.8.8
[00:35:24] WARNING | Medium: Suspicious Port Probing from 35.237.69.59 | 35.237.69.59
[00:35:24] CRITICAL | High: Port Scan Detected from 35.237.69.59 (4 ports) | 35.237.69.59
[00:35:28] WARNING | Medium: Suspicious Port Probing from 1.1.1.1 | 1.1.1.1
[00:35:28] WARNING | Medium: Suspicious Port Probing from 10.186.171.135 | 10.186.171.135
[00:39:32] Medium | Medium: Suspicious Port Probing from 8.8.8.8 | 8.8.8.8
[00:39:32] Medium | Medium: Suspicious Port Probing from 20.42.73.30 | 20.42.73.30
[00:39:34] Medium | Medium: Suspicious Port Probing from 140.82.114.22 | 140.82.114.22
[00:39:57] Medium | Medium: Suspicious Port Probing from 10.186.171.135 | 10.186.171.135
[00:41:01] Medium | Medium: Suspicious Port Probing from 8.8.8.8 | 8.8.8.8
[00:41:01] High | High: Port Scan Detected from 8.8.8.8 (3 ports) | 8.8.8.8
[00:43:19] Medium | Medium: Suspicious Port Probing from 10.186.171.135 | 10.186.171.135
[00:43:20] Medium | Medium: Suspicious Port Probing from 8.8.8.8 | 8.8.8.8
[00:43:22] Medium | Medium: Suspicious Port Probing from 140.82.112.22 | 140.82.112.22
[00:43:23] Medium | Medium: Suspicious Port Probing from 52.182.143.211 | 52.182.143.211
[00:43:37] Medium | Medium: Suspicious Port Probing from 10.186.171.135 | 10.186.171.135
[00:43:37] Medium | Medium: Suspicious Port Probing from 8.8.8.8 | 8.8.8.8
[00:43:37] High | High: Port Scan Detected from 8.8.8.8 (3 ports) | 8.8.8.8
[00:43:38] Medium | Medium: Suspicious Port Probing from 1.1.1.1 | 1.1.1.1
[00:43:38] Medium | Medium: Suspicious Port Probing from 104.208.16.91 | 104.208.16.91
[00:44:10] Medium | Medium: Suspicious Port Probing from 10.186.171.135 | 10.186.171.135
[00:44:57] Medium | Medium: Suspicious Port Probing from 35.237.69.59 | 35.237.69.59
[00:44:58] Medium | Medium: Suspicious Port Probing from 10.186.171.135 | 10.186.171.135
[00:44:58] Medium | Medium: Suspicious Port Probing from 8.8.8.8 | 8.8.8.8
